priority_rank,priority_score,school,focus_track,focus_rows,missing_total,max_missing_in_row,rows_with_note_in_name,rows_not_marked_latest,sample_to_verify,official_guide_link,suggested_action
20,54,神戸大学,mixed,5,14,5,1,0,神戸大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 第二次选考/校内考/面试 内容 || 神戸大学発達コミュニティ学科 -> 具体学部PDF | EJU必要科目 | 第二次选考/校内考/面试 内容 || 神戸大学グローバル文化学科 -> 具体学部PDF | 第二次选考/校内考/面试 内容,https://www.fgh.kobe-u.ac.jp/ja/node/79,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
21,53,滋賀大学,mixed,3,13,7,0,0,滋賀大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 滋賀大学教育学部 -> 是否招收留学生 | 是否需要英语成绩 | 第二次选考/校内考/面试 内容 || 滋賀大学经济学部 -> 是否招收留学生 | 是否需要英语成绩 | 第二次选考/校内考/面试 内容,https://www.shiga-u.ac.jp/admission/examination_info/guideline/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
22,53,足利大学,mixed,2,13,7,0,0,足利大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 工学部 -> 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://ashikaga.ac.jp/exam_site/youkou/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
23,51,愛媛大学,mixed,8,13,6,0,0,愛媛大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 愛媛大学医学部医学科 -> 第二次选考/校内考/面试 内容 || 愛媛大学医学部看護学科 -> 第二次选考/校内考/面试 内容,https://www.ehime-u.ac.jp/entrance/selection-guidelines/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
24,50,横浜国立大学,mixed,9,14,4,0,0,横浜国立大学 -> 具体学部PDF | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 横浜国立大学理工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 横浜国立大学都市科学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.ynu.ac.jp/exam/faculty/essential/index.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
25,49,お茶の水女子大学,mixed,11,15,2,0,0,お茶の水女子大学共創工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || お茶の水女子大学理学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || お茶の水女子大学生活科学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.ao.ocha.ac.jp/application/faculty/index.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
26,48,富山大学,mixed,7,12,6,0,0,富山大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 富山大学医学部医学科 -> 第二次选考/校内考/面试 内容 || 富山大学医学部看護学部 -> 第二次选考/校内考/面试 内容,https://www.u-toyama.ac.jp/admission/undergraduate-exam/guidebook/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
27,47,専修大学,mixed,3,11,7,0,0,専修大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 専修大学ネットワーク情報学部ネットワーク情報学科 -> EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 専修大学ネットワーク情報学部 -> no_key_missing,https://www.senshu-u.ac.jp/admission/shikenseido/nyushiyokodl.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
28,47,愛知学院大学,mixed,6,11,7,0,0,愛知学院大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 健康科学科 -> EJU必要科目 || 健康科学部 -> 第二次选考/校内考/面试 内容,https://navi.agu.ac.jp/examination/other-foreigner/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
29,47,東京電機大学,mixed,22,11,7,0,0,東京電機大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 東京電機大学システムデザイン工学部 -> EJU必要科目 || 東京電機大学工学部 -> EJU必要科目,https://www.dendai.ac.jp/about/admission/undergraduate/ryugakusei.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
30,45,信州大学,mixed,6,11,6,0,0,信州大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 信州大学医学部 -> 第二次选考/校内考/面试 内容 || 信州大学工学部 -> 第二次选考/校内考/面试 内容,https://www.shinshu-u.ac.jp/ad_portal/selection/index.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
31,45,同志社女子大学,mixed,6,11,6,0,0,同志社女子大学 -> 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 人間生活学科 -> EJU必要科目 || 生物科学学部 -> EJU必要科目,https://www.dwc.doshisha.ac.jp/admissions/exam_information/guidelines,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
32,45,東京理科大学,mixed,37,11,4,2,0,東京理科大学 -> EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 東京理科大学先進工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 東京理科大学工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.tus.ac.jp/admissions/university/guideline/general/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
33,44,筑波大学,mixed,5,12,4,0,0,筑波大学 -> 具体学部PDF | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 医学群 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 情報学群 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://ac.tsukuba.ac.jp/apply/application-guidelines/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
34,43,山口大学,mixed,7,11,5,0,0,山口大学 -> 具体学部PDF | EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 山口大学工学部創成工学科化学系 -> 第二次选考/校内考/面试 内容 || 山口大学工学部創成工学科国土·環境デザイン系 -> 第二次选考/校内考/面试 内容,https://www.yamaguchi-u.ac.jp/nyushi/yoko/index.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
35,43,東京医科歯科大学,mixed,1,8,8,1,1,東京医科歯科大学 -> 募集要项链接（募集要项一览界面的链接） | 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
36,42,大阪工業大学,mixed,5,10,6,0,0,大阪工業大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || ロボティクス・デザイン工学部 -> EJU必要科目 || 工学部 -> EJU必要科目,https://www.oit.ac.jp/admission/outline/document.html#nyushi13,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
37,42,室蘭工業大学,mixed,4,10,6,0,0,室蘭工業大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 室蘭工業大学理工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 室蘭工業大学理工学部システム理化学科 -> 第二次选考/校内考/面试 内容,https://muroran-it.ac.jp/entrance/admission/exam/uee/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
38,42,岡山県立大学,mixed,4,10,6,0,0,岡山県立大学 -> 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 岡山県立大学デザイン学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 岡山県立大学保健福祉学部 -> 第二次选考/校内考/面试 内容,https://www.oka-pu.ac.jp/exam/page-15832/page-449/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
39,42,琉球大学,mixed,12,10,6,0,0,琉球大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 琉球大学理学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 琉球大学理学部物質地球科学科 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.u-ryukyu.ac.jp/admissions/recruitment/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
40,42,群馬大学,mixed,5,10,6,0,0,群馬大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 群馬大学共同教育学部 -> 第二次选考/校内考/面试 内容 || 群馬大学医学部 -> 第二次选考/校内考/面试 内容,https://www.gunma-u.ac.jp/admission/g2107/g30174,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
41,42,京都橘大学,mixed,3,8,7,2,0,京都橘大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 工学部 -> EJU必要科目 || 工学部 -> no_key_missing,https://www.tachibana-u.ac.jp/admission/international_student/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
42,42,南山大学,mixed,3,8,7,2,0,南山大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 理工学部 -> EJU必要科目 || 理工学部 -> no_key_missing,https://www.nanzan-u.ac.jp/admission/nyushi/shubetsu/sonota05.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
43,41,福井大学,mixed,3,9,7,0,0,福井大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 福井大学国際地域学部 -> 第二次选考/校内考/面试 内容 || 福井大学工学部 -> 第二次选考/校内考/面试 内容,https://www.u-fukui.ac.jp/user_admission/examination/essential_point/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
44,41,長岡技術科学大学,mixed,2,9,7,0,0,長岡技術科学大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 長岡技術科学大学工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.nagaokaut.ac.jp/nyuushi/nyugakushiken/nyushi_gakubu1.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
45,41,文化学園大学,mixed,1,8,8,0,1,文化学園大学 -> 募集要项链接（募集要项一览界面的链接） | 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
46,41,立命館アジア太平洋大学,mixed,1,8,8,0,1,立命館アジア太平洋大学 -> 募集要项链接（募集要项一览界面的链接） | 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
47,39,杏林大学,mixed,3,9,6,0,0,杏林大学 -> 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 保健学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 医学部 -> EJU必要科目,https://www.kyorin-u.ac.jp/univ/center/nyugaku/web_youkou/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
48,38,三重大学,mixed,4,8,7,0,0,三重大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 三重大学生物資源学科 -> 第二次选考/校内考/面试 内容 || 三重大学人文学部 -> no_key_missing,https://www.mie-u.ac.jp/exam/faculty/guidelines/post-6.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
49,38,公立鳥取環境大学,mixed,2,8,7,0,0,公立鳥取環境大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 公立鳥取環境大学環境学部 -> 第二次选考/校内考/面试 内容,https://www.kankyo-u.ac.jp/exam/r8/ryuugakusei/#yoko,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
50,38,同志社大学,mixed,20,8,7,0,0,同志社大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 同志社大学理工学部 -> EJU必要科目 || 同志社大学スポーツ健康科学部 -> no_key_missing,https://intad.doshisha.ac.jp/intad/japanese_program/guide_entrance_exam.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
51,38,東京都市大学,mixed,10,8,7,0,0,東京都市大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 東京都市大学メディア情報学部 -> EJU必要科目 || 東京都市大学メディア情報学部デザイン・データ学部 -> no_key_missing,https://www.tcu.ac.jp/entrance/summary/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
52,38,東海大学,mixed,13,8,7,0,0,東海大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 建築都市学部 -> EJU必要科目 || 人間情報工学科 -> no_key_missing,https://www.u-tokai.ac.jp/examination-admissions/exam/#yokou,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
53,38,津田塾大学,mixed,4,8,7,0,0,津田塾大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 学芸学部 -> 第二次选考/校内考/面试 内容 || 情報科学科 -> no_key_missing,https://www.tsuda.ac.jp/admissions/ug-others/ug-special.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
54,38,関西学院大学,mixed,16,8,7,0,0,関西学院大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 関西学院大学建築学部建築学科 -> 第二次选考/校内考/面试 内容 || 関西学院大学工学科 -> no_key_missing,https://ciec.kwansei.ac.jp/page/examination-department.html?_ga=2.166281534.1605252297.1649808092-338828537.1647739860&_gl=1*3aiowk*_gcl_au*NzE1MDg0Mzg3LjE3MTQ2NTA2MDI.*_ga*MTM3MDUyMTc0LjE3MTQ2NTA2MDI.*_ga_6RKBB1G5Y1*MTcxNDY1MDYwMi4xLjEuMTcxNDY1MDY4Ny40OC4wLjA.,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
55,38,立教大学,mixed,9,7,6,2,1,立教大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 立教大学理学部 -> EJU必要科目 || 立教大学理学部化学科 -> no_key_missing,https://www.rikkyo.ac.jp/admissions/undergraduate/foreigner.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
56,36,北見工業大学,mixed,3,8,6,0,0,北見工業大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 北見工業大学地域未来デザイン工学科 -> 第二次选考/校内考/面试 内容 || 北見工業大学地球環境工学科 -> 第二次选考/校内考/面试 内容,https://www.kitami-it.ac.jp/info/faculty/bosyuyoko/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
57,36,横浜市立大学,mixed,3,8,6,0,0,横浜市立大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 横浜市立大学データサイエンス学部 -> 第二次选考/校内考/面试 内容 || 横浜市立大学理学部 -> 第二次选考/校内考/面试 内容,https://www.yokohama-cu.ac.jp/admissions/admissions/special_selection/international_students/index.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
58,36,三条市立大学,mixed,1,7,7,0,1,三条市立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
59,36,三重県立看護大学,mixed,1,7,7,0,1,三重県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://无法访问此网站,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
